## Ftp pointers pulled out using the TEXT metainfo at ENA for PRJEB9586 (there are two pointers which is admittedly a little confusing, due to multiple people working on the upload - apologies)
## Additional metainfo added, based on meta data for general download webpage: http://reichdata.hms.harvard.edu/pub/datasets/sgdp/. Hopefully this should make things easier. At some point we should clean up the ENA distribution portal to clarify the separate pointers for different data chunks
# 1-n	2-ena_id	3-Illumina_ID	4-reich_id	5-ena_ftp_bam_ptr	6-Sequencing_Panel	7-Gender	8-Population_ID	9-Contributor	10-Region	11-Country	12-Town	13-Latitude	14-Longitude	15-DNA_Source	16-BioSamples Accession	17-Embargo
249	SAMEA3302732	LP6005442-DNA_G07	S_Greek-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324272/LP6005442-DNA_G07.srt.aln.bam	C	M	Greek	Coriell	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	38	23.7	Genomic_from_cell_lines	SAMEA3302732	FullyPublic
250	SAMEA3302763	LP6005443-DNA_A06	S_Greek-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324287/LP6005443-DNA_A06.srt.aln.bam	C	M	Greek	Coriell	WestEurasia	Greece	Cell_line_repository_sampling_location_unknown	38	23.7	Genomic_from_cell_lines	SAMEA3302763	FullyPublic
251	SAMEA3302730	SS6004475	B_Yoruba-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324543/SS6004475.srt.aln.bam	B	M	Yoruba	Howard Cann	Africa	Nigeria	?	7.4	3.9	Genomic_from_cell_lines	SAMEA3302730	FullyPublic
252	SAMEA3302815	LP6005441-DNA_G11	S_Sindhi-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312824/LP6005441-DNA_G11.srt.aln.bam	C	M	Sindhi	Howard Cann	SouthAsia	Pakistan	?	25.5	69	Genomic_from_cell_lines	SAMEA3302815	FullyPublic
253	SAMEA3302685	LP6005441-DNA_H11	S_Sindhi-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312831/LP6005441-DNA_H11.srt.aln.bam	C	F	Sindhi	Howard Cann	SouthAsia	Pakistan	?	25.5	69	Genomic_from_cell_lines	SAMEA3302685	FullyPublic
254	SAMEA3302642	LP6005443-DNA_H02	S_Aleut-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324343/LP6005443-DNA_H02.srt.aln.bam	C	F	Aleut	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	55.18	166	Genomic_from_blood	SAMEA3302642	FullyPublic
255	SAMEA3302773	LP6005443-DNA_A03	S_Aleut-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324286/LP6005443-DNA_A03.srt.aln.bam	C	M	Aleut	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	55.18	166	Genomic_from_blood	SAMEA3302773	FullyPublic
256	SAMEA3302755	LP6005442-DNA_D01	S_Xibo-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312848/LP6005442-DNA_D01.srt.aln.bam	C	M	Xibo	Howard Cann	EastAsia	China	?	43.5	81.5	Genomic_from_cell_lines	SAMEA3302755	FullyPublic
257	SAMEA3302648	LP6005443-DNA_C02	S_Xibo-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324300/LP6005443-DNA_C02.srt.aln.bam	C	M	Xibo	Howard Cann	EastAsia	China	?	43.5	81.5	Genomic_from_cell_lines	SAMEA3302648	FullyPublic
258	SAMEA3302660	LP6005443-DNA_D03	S_Eskimo_Chaplin-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324309/LP6005443-DNA_D03.srt.aln.bam	C	M	Eskimo_Chaplin	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"New Chaplino, Chukchi Peninsula"	64.48	172.86	Genomic_from_blood	SAMEA3302660	FullyPublic
259	SAMEA3302833	SS6004471	B_Mbuti-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324539/SS6004471.srt.aln.bam	B	M	Mbuti	Howard Cann	Africa	Congo	?	1	29	Genomic_from_cell_lines	SAMEA3302833	FullyPublic
260	SAMEA3302719	SS6004478	B_Australian-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324529/SS6004478.srt.aln.bam	B	U	Australian	ECCAC	Oceania	Australia	Cell_line_repository_sampling_location_unknown	-13	143	Genomic_from_cell_lines	SAMEA3302719	FullyPublic
261	SAMEA3302681	SS6004477	B_Australian-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324530/SS6004477.srt.aln.bam	B	M	Australian	ECCAC	Oceania	Australia	Cell_line_repository_sampling_location_unknown	-13	143	Genomic_from_cell_lines	SAMEA3302681	FullyPublic
262	SAMEA3302684	LP6005441-DNA_H12	S_Tuscan-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125633/srt.aln.bam	C	F	Tuscan	Howard Cann	WestEurasia	Italy(Tuscany)	?	43	11	Genomic_from_cell_lines	SAMEA3302684	FullyPublic
263	SAMEA3302854	LP6005442-DNA_E11	S_Luhya-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324259/LP6005442-DNA_E11.srt.aln.bam	C	M	Luhya	Coriell	Africa	Kenya	Webuye	1.3	36.8	Genomic_from_cell_lines	SAMEA3302854	FullyPublic
264	SAMEA3302882	LP6005441-DNA_B07	S_Lahu-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312779/LP6005441-DNA_B07.srt.aln.bam	C	F	Lahu	Howard Cann	EastAsia	China	?	22	100	Genomic_from_cell_lines	SAMEA3302882	FullyPublic
265	SAMEA3302832	LP6005443-DNA_E01	S_Lahu-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324316/LP6005443-DNA_E01.srt.aln.bam	C	M	Lahu	Howard Cann	EastAsia	China	?	22	100	Genomic_from_cell_lines	SAMEA3302832	FullyPublic
266	SAMEA3302810	LP6005442-DNA_F09	S_Luo-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324264/LP6005442-DNA_F09.srt.aln.bam	C	F	Luo	Geoge Ayodo	Africa	Kenya	BondoDistrict	-0.1	34.3	Genomic_from_blood	SAMEA3302810	FullyPublic
267	SAMEA3302868	LP6005677-DNA_G01	S_Luo-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324544/LP6005677-DNA_G01.srt.aln.bam	C	M	Luo	Geoge Ayodo	Africa	Kenya	BondoDistrict	-0.1	34.3	Genomic_from_blood	SAMEA3302868	FullyPublic
268	SAMEA3302908	LP6005592-DNA_H03	S_Hawaiian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324395/LP6005592-DNA_H03.srt.aln.bam	C	M	Hawaiian	Coriell	Oceania	USA	Cell_line_repository_sampling_location_unknown	21.3	-157.8	Genomic_from_cell_lines	SAMEA3302908	FullyPublic
269	SAMEA3302848	LP6005677-DNA_E01	S_Quechua-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324546/LP6005677-DNA_E01.srt.aln.bam	C	M	Quechua	Coriell	America	Peru	Cell_line_repository_sampling_location_unknown	-13.5	-72	Genomic_from_cell_lines	SAMEA3302848	FullyPublic
270	SAMEA3302709	LP6005519-DNA_G02	S_Quechua-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324370/LP6005519-DNA_G02.srt.aln.bam	C	F	Quechua	Chris Tyler-Smith / Andres Ruiz-Linares	America	Peru	?	-13.5	-72	Genomic_from_blood	SAMEA3302709	FullyPublic
271	SAMEA3302878	LP6005443-DNA_A02	S_Tujia-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324285/LP6005443-DNA_A02.srt.aln.bam	C	M	Tujia	Howard Cann	EastAsia	China	?	29	109	Genomic_from_cell_lines	SAMEA3302878	FullyPublic
272	SAMEA3302896	LP6005677-DNA_F01	S_Quechua-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324545/LP6005677-DNA_F01.srt.aln.bam	C	F	Quechua	Coriell	America	Peru	Cell_line_repository_sampling_location_unknown	-13.5	-72	Genomic_from_cell_lines	SAMEA3302896	FullyPublic
273	SAMEA3302786	LP6005441-DNA_G10	S_Russian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312823/LP6005441-DNA_G10.srt.aln.bam	C	M	Russian	Howard Cann	WestEurasia	Russia	Vologda Administrative Region	61	40	Genomic_from_cell_lines	SAMEA3302786	FullyPublic
274	SAMEA3302790	LP6005441-DNA_G06	S_Karitiana-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312819/LP6005441-DNA_G06.srt.aln.bam	C	M	Karitiana	Howard Cann	America	Brazil	?	-10	-63	Genomic_from_cell_lines	SAMEA3302790	FullyPublic
275	SAMEA3302662	LP6005441-DNA_H06	S_Karitiana-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312827/LP6005441-DNA_H06.srt.aln.bam	C	F	Karitiana	Howard Cann	America	Brazil	?	-10	-63	Genomic_from_cell_lines	SAMEA3302662	FullyPublic
276	SAMEA3302766	LP6005441-DNA_H10	S_Russian-2	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125631/srt.aln.bam	C	F	Russian	Howard Cann	WestEurasia	Russia	Vologda Administrative Region	61	40	Genomic_from_cell_lines	SAMEA3302766	FullyPublic
277	SAMEA3302692	LP6005519-DNA_A06	S_Burmese-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324351/LP6005519-DNA_A06.srt.aln.bam	C	M	Burmese	Toomas Kivisild / Joseph Wee Tien Seng	EastAsia	Myanmar	Yangon (sampled in Singapore)	17	96.7	Genomic_from_saliva	SAMEA3302692	FullyPublic
278	SAMEA3302895	LP6005519-DNA_B06	S_Burmese-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324354/LP6005519-DNA_B06.srt.aln.bam	C	M	Burmese	Toomas Kivisild / Joseph Wee Tien Seng	EastAsia	Myanmar	Mandalay (sampled in Singapore)	17	96.7	Genomic_from_saliva	SAMEA3302895	FullyPublic
279	SAMEA3302716	LP6005441-DNA_B08	S_Mbuti-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312780/LP6005441-DNA_B08.srt.aln.bam	C	F	Mbuti	Howard Cann	Africa	Congo	?	1	29	Genomic_from_cell_lines	SAMEA3302716	FullyPublic
280	SAMEA3302807	LP6005592-DNA_G01	S_Yemenite_Jew-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324392/LP6005592-DNA_G01.srt.aln.bam	C	M	Yemenite_Jew	Tel-Aviv University	WestEurasia	Yemen	Cell_line_repository	15.4	44.2	Genomic_from_cell_lines	SAMEA3302807	FullyPublic
